"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"U76G8FDJ","journalArticle","2022","Boll, S; Schnell, M","Mit Künstlicher Intelligenz zu nachhaltigen Geschäftsmodellen","Nachhaltigkeit von, durch und …","","","","https://www.plattform-lernende-systeme.de/files/Downloads/Publikationen/AG4_WP_KI_und_Nachhaltigkeit.pdf","… Eine weitere Nutzungsmöglichkeit von Abwärme im Bereich von Gewächshäusern stellt die vertikale Landwirtschaft (vertical farming) dar. Hier erfolgt im urbanen Bereich eine …","2022","2023-11-07 10:40:02","2023-11-07 10:40:02","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: plattform-lernende-systeme.de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KTRSBY4D","journalArticle","2021","Ramesohl, S; Gunnemann, A; Berg, H","Digitalisierung gestalten-Transformation zur Nachhaltigkeit ermöglichen: eine Studie im Auftrag von Huawei Technologies Deutschland GmbH","","","","","https://epub.wupperinst.org/files/7869/7869_Digitalisierung.pdf","… Andererseits braucht es den Strukturwandel hin zu einer nachhaltigen Landwirtschaft, in der die Landwirte und Landwirtinnen für eine hochwertige, umweltverträgliche Nahrungs…","2021","2023-11-07 10:40:02","2023-11-07 10:40:02","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: epub.wupperinst.org","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S2N7J27G","journalArticle","","Kluy, L; Friedel, T; Launert, N","Technik &Mensch: Agrartechnik","Technik &Mensch","","","","https://tuprints.ulb.tu-darmstadt.de/22337/","… Gleichzeitig muss die Umweltbelastungen aus der Landwirtschaft … wir städtische Räume für die Landwirtschaft nutzen, um Trans… Landwirtschaft, die nachhaltig und zukunftsfähig ist. …","","2023-11-07 10:40:02","2023-11-07 10:40:02","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: tuprints.ulb.tu-darmstadt.de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J4WN64C5","book","2018","Müller, A; Meier, M; Moakes, S; Oehen, B","Eckpunkte einer standortangepassten Landwirtschaft in der Schweiz","","","","","https://orgprints.org/34488/","In dieser Studie bestimmen wir auf der Basis verschiedener Modellierungsstudien die Eckpunkte einer standortangepassten Landwirtschaft für die Schweiz. Dies bedeutet eine …","2018","2023-11-07 10:40:02","2023-11-07 10:40:02","","","","","","","","","","Query date: 2023-09-12 11:59:37","","","orgprints.org","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPYP8RI4","journalArticle","2016","Schmidt, D; Eng, B","Die Rolle der urbanen Landwirtschaft in der Stadtentwicklung","Übersicht und Umgang mit neuen Formen …","","","","https://tu-dresden.de/bu/umwelt/lfre-alt/ressourcen/dateien/studium/Abschlussarbeiten/Masterarbeit_Urbane-Landwirtschaft_Dirk-Schmidt_OnlineVersion.pdf","… ein stetiger Verlust an produktiven landwirtschaftlichen Flächen verbunden. Wie also auf diese … beispielsweise durch die Verwendung fossiler Energieträger nicht nachhaltig gestaltet? …","2016","2023-11-07 10:40:02","2023-11-07 10:40:02","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: tu-dresden.de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IM3SPS4B","journalArticle","","HirscHfelder, G","Ackerbausysteme und Ernährungskulturen der Zukunft–Chancen und Risiken für die Gesellschaft von morgen gunTher hirschfeLder","Boden gut machen–neue Ackerbausysteme","","","","https://www.researchgate.net/profile/Gunther-Hirschfelder/publication/361793929_Ackerbausysteme_und_Ernahrungskulturen_der_Zukunft_Chancen_und_Risiken_fur_die_Gesellschaft_von_morgen_In_Kuratorium_fur_Technik_und_Bauwesen_in_der_Landwirtschaft_eV_Hg_Darmstadt_2021_S_28-46/links/62cc08263bbe636e0c54ce0f/Ackerbausysteme-und-Ernaehrungskulturen-der-Zukunft-Chancen-und-Risiken-fuer-die-Gesellschaft-von-morgen-In-Kuratorium-fuer-Technik-und-Bauwesen-in-der-Landwirtschaft-eV-Hg-Darmstadt-2021-S-28-46.pdf#page=30","… Für all diese Problematiken ist mitnichten die Landwirtschaft … oft recht isoliert auf die Landwirtschaft geblickt. Dabei ist sie … auch Techniken wie das Vertical Farming, die vor allem dann …","","2023-11-07 10:40:02","2023-11-07 10:40:02","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: researchgate.net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YYU6AJPH","journalArticle","2023","Feldmann, F; Piorr, A; Vogler, U","Die Formen der urbanen Landwirtschaft in Deutschland.","Journal of Cultivated Plants …","","","","https://www.researchgate.net/profile/Falko-Feldmann-2/publication/369734943_Die_Formen_der_urbanen_Landwirtschaft_in_Deutschland_Typology_of_urban_agriculture_in_Germany/links/64299b91a1b72772e4461e32/Die-Formen-der-urbanen-Landwirtschaft-in-Deutschland-Typology-of-urban-agriculture-in-Germany.pdf","… Die Formen der stadtregionalen, dh stadtnahen ruralen, peri-urbanen und intra-urbanen Landwirtschaft („urbanen Landwirtschaft“), wurden in dieser Studie auf der Basis einer Online-…","2023","2023-11-07 10:40:02","2023-11-07 10:40:02","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: researchgate.net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S4MBNGF5","journalArticle","2020","Wirsam, J","Zukunftstrend „Alternative Food “: Disruption und Transformation globaler „Food Systems “","","","","","","","2020","2023-11-07 10:40:02","2023-11-07 10:40:02","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: Deutsche Nationalbibliothek","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QE5AJ6U5","journalArticle","2017","Specht, K; Siebert, R","Städtische Landwirtschaft in, an und auf Gebäuden: Möglichkeiten für die Stadtentwicklung, Handlungsfelder und Akteure","… : Welche Landwirtschaft braucht die Stadt?","","","10.1007/978-3-658-13726-7_7","https://link.springer.com/chapter/10.1007/978-3-658-13726-7_7","… Als eine neue und visionäre Sonderform urbaner Landwirtschaft wird das Thema der gebäudegebundenen urbanen Landwirtschaft (ZFarming) in dem folgenden Kapitel vorgestellt. Die …","2017","2023-11-07 10:40:02","2023-11-07 10:40:02","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W286X6C4","journalArticle","","Spraul, K; Neubert, J","Urban Farming als Instrument zur Realisierung der Sustainable Development Goals","kluedo.ub.rptu.de","","","","https://kluedo.ub.rptu.de/frontdoor/deliver/index/docId/6362/file/Urban%20Farming%20als%20Instrument%20zur%20Realisierung%20der%20SDGs_Bachelorarbeit_WiSe20-21.pdf","… Schadstoffen in der Luft, da Pflanzen diese absorbieren und somit nachhaltig die Luft- … dopplung der landwirtschaftlichen Produktivität und des Einkommens von Farmer*innen. …","","2023-11-07 10:40:02","2023-11-07 10:40:02","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
